what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384120058229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120062606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120063439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120064132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120071304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384120077592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120094264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120129425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120134295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120145364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384120151102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384120153918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120162901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120210896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384120219475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384120222842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1384120228417
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384120231307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120233821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120235102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120246609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384120247975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384120251080
