what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384117914251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384117914255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384117914273
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384117914283
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384117919875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384117942045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384117942862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384117945161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384117945330
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384117959037
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1384117962418
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1384117962455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118002826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118012867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118014629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118020402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118037493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118038504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118039957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118476563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118519164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118521395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118529313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118533311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1384118544130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384118546074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118548279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118549258
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384118554865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118568542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118571807
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384118571838
activated,view,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms.views.LogCatView",1384118571849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118579802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118601654
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384118609184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384118610661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118610936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118637602
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384118646994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118649346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118649519
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384118652941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118656510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118683987
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1384118695185
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1384118695190
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1384118695555
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1384118695558
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1384118695608
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1384118695624
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384118696110
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1384118696160
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384118696241
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1384118711144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384118711156
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384118713204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384118715476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384118717016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1384118722663
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384118725969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384118733410
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384118740079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118741210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118741397
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384118744552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118763846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118778823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118815139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384118815310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1384118836485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118846628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118847910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118848254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118848409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1384118848584
